Address,Name,Formatted Address,Types,Match Score
4830 S Western Ave,Chicago Park District,"4830 south western avenue, chicago","park, local_government_office, point_of_interest, establishment",0.71
4833 N Francisco Ave,Lawrence Hall,"4833 north francisco avenue, chicago","point_of_interest, establishment",0.72
4835 N Sheridan Rd,Pedersen-McCormick Boys & Girls Club,"4835 north sheridan road, chicago","point_of_interest, establishment",0.72
4835 W Chicago Ave,Renaissance Living Room,"4835 west chicago avenue, chicago","point_of_interest, establishment",0.72
4837 W Erie St,,,,
4856 W Chicago Ave,"West Chicago Avenue Branch, Chicago Public Library","4856 west chicago avenue, chicago","library, point_of_interest, establishment",0.72
4859 S Wabash Ave,Grand Boulevard Federation,"4859 south wabash avenue, chicago","point_of_interest, establishment",0.7
49 E 95th St,Abbott Pool (Outdoor),"49 east 95th street, chicago","point_of_interest, establishment",0.66
49 Oakbrook Ctr,Banana Republic,"49 oakbrook center, oak brook","clothing_store, store, point_of_interest, establishment",0.79
49 W 111th Pl,Christ Temple Cathedral Church,"62 west 111th place, chicago","church, place_of_worship, point_of_interest, establishment",0.62
4901 N Sheridan Rd,Buttercup Park,"4901 north sheridan road, chicago","park, tourist_attraction, parking, point_of_interest, establishment",0.72
4901 S Kilbourn Ave,Fitness Center,"4901 south kilbourn avenue, chicago","health, point_of_interest, establishment",0.72
4904 S Lake Park Ave,,,,
4909 W Division St,Dr. Catalino M Bautista,"4909 west division street, chicago","doctor, health, point_of_interest, establishment",0.71
4910 W Addison St,Ikaar Corp,"4856 west addison street, chicago","moving_company, point_of_interest, establishment",0.62
4919 N Winthrop Ave,Winthrop Harmony Arts Garden,"4919 north winthrop avenue, chicago","park, point_of_interest, establishment",0.72
4921 N Marine Dr,Margate Fieldhouse — park fitness center,"4921 north marine drive, chicago","gym, health, point_of_interest, establishment",0.69
4922 S Throop St,,,,
4929 N Sawyer Ave,Edison Regional Gifted Center,"4929 north sawyer avenue, chicago","primary_school, point_of_interest, school, establishment",0.7
4929 S Campbell Ave,Sunny Daze Café,"4980 south campbell avenue, tucson","cafe, store, restaurant, food, point_of_interest, establishment",0.66
4930 S Cottage Grove Ave,Hales Franciscan High School,"4930 south cottage grove avenue, chicago","secondary_school, school, point_of_interest, establishment",0.75
4934 S Wabash Ave,DuSable High School Campus,"4934 south wabash avenue, chicago","secondary_school, school, point_of_interest, establishment",0.7
4946 S Paulina St,Chicago Public Schools,"4946 south paulina street, chicago","point_of_interest, establishment",0.69
4949 S Archer Ave,Curie (Marie) Park,"4949 south archer avenue, chicago","park, point_of_interest, establishment",0.7
4950 W Thomas St,Beth Anne Supportive Living,"4950 west thomas street, chicago","health, point_of_interest, establishment",0.69
4956 N Sheridan Rd,Latin School's 3rd Space,"4956 north sheridan road, chicago","point_of_interest, establishment",0.72
4959 S Archer Ave,Marie Sklodowska Curie Metropolitan High School,"4959 south archer avenue, chicago","secondary_school, point_of_interest, school, establishment",0.7
4th Ward Alderman's Office,,,,
5 Peas In A Pod ,5 Peas In A Pod Learning Academy,"5635 west north avenue, chicago","point_of_interest, establishment",0.7
5 S Wabash Ave,Valencia Diamond Inc,"5 south wabash avenue, chicago","jewelry_store, finance, point_of_interest, store, establishment",0.68
50 W Washington St,Illinois Workers' Compensation Commission,"50 west washington street, chicago","point_of_interest, establishment",0.71
500 N Lake Shore Dr,LAZ Parking,"500 north lake shore drive, chicago","parking, point_of_interest, establishment",0.72
500 N Laramie Ave,Chicago First Church of the Nazarene (Austin Campus),"500 north laramie avenue, chicago","church, place_of_worship, point_of_interest, establishment",0.7
500 S Central Ave,Columbus (Christopher) Park,"500 south central avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.7
5000 S Indiana Ave,Respect the game,"5000 south indiana avenue, chicago","point_of_interest, establishment",0.71
5001 S Cottage Grove Ave,,,,
5009 S Laflin St,,,,
501 E 90th Pl,Basketball camp,"comets field, 501 east 90th place, chicago","point_of_interest, establishment",0.77
501 N Central Ave,sistas of the hood,"501 north central avenue, chicago","point_of_interest, establishment",0.7
501 W 35th St,CPS Bridgeport Administrative Office,"501 west 35th street, chicago","point_of_interest, establishment",0.67
501 W 64th St,City Parking,"457 west 64th street, new york","parking, point_of_interest, establishment",0.62
501 W Wisconsin St,Bauler (Mathias) Park,"501 west wisconsin street, chicago","park, tourist_attraction, point_of_interest, establishment",0.71
5010 W 50th St,Basketball Court,"5010 west 50th street, chicago","point_of_interest, establishment",0.68
5013 S Hermitage Ave,The Port Ministries,"5013 south hermitage avenue, chicago","place_of_worship, point_of_interest, establishment",0.72
5015 S Blackstone Ave,Kenwood Academy High School,"5015 south blackstone avenue, chicago","secondary_school, school, point_of_interest, establishment",0.73
5020 S Cornell Ave,Hyde Park Art Center,"5020 south cornell avenue, chicago","tourist_attraction, museum, art_gallery, point_of_interest, establishment",0.71
5022 W Madison St,Peace Corner Youth Center,"5022 west madison street, chicago","point_of_interest, establishment",0.7
5024 S Wolcott Ave,Richard J Daley Elementary Academy,"5024 south wolcott avenue, chicago","primary_school, school, point_of_interest, establishment",0.71
5025 S Saint Louis Ave,,,,
5039 N Kimball Ave,Frederick Von Steuben Metropolitan Science Center,"5039 north kimball avenue, chicago","secondary_school, point_of_interest, school, establishment",0.71
5042 S Artesian Ave,Christopher Elementary School,"5042 south artesian avenue, chicago","primary_school, school, point_of_interest, establishment",0.72
5044 W Harrison St,Austin Coming Together,"5049 west harrison street, chicago","point_of_interest, establishment",0.68
5049 W Harrison St,Austin Coming Together,"5049 west harrison street, chicago","point_of_interest, establishment",0.71
5050 S Homan Ave,"Jovita Idar Elementary, an Acero School","5050 south homan avenue, chicago","primary_school, school, point_of_interest, establishment",0.69
5051 N Kenneth Ave,John M Palmer Elementary School,"5051 north kenneth avenue, chicago","primary_school, point_of_interest, school, establishment",0.71
5055 S Archer Ave,"Archer Heights Branch, Chicago Public Library","5055 south archer avenue, chicago","library, point_of_interest, establishment",0.7
5055 S Prairie Ave,BMA Resources,"5055 south prairie avenue, chicago","point_of_interest, establishment",0.71
507 W 111th St,Boehm Business Services,"507 west 111th street #2, new york","point_of_interest, establishment",0.66
5085 W Adams St,Harvest Garden,"5085 west adams street, chicago","park, point_of_interest, establishment",0.69
5085 West Adams Street,Harvest Garden,"5085 west adams street, chicago","park, point_of_interest, establishment",0.69
5088 W Jackson Blvd,Chapel Of St Ignatius Loyola,"5088 west jackson boulevard, chicago","point_of_interest, establishment",0.71
5090 W Harrison St,Windy City Word,"5090 west harrison street, chicago","point_of_interest, establishment",0.71
5100 N Francisco Ave,River Park,"5100 north francisco avenue, chicago","park, point_of_interest, establishment",0.72
5100 N Leavitt St,Winnemac Park Natural Area,"5100 north leavitt street, chicago","park, point_of_interest, establishment",0.69
5100 N Ridgeway Ave,Albany Park Theater Project,"5100 north ridgeway avenue, chicago","point_of_interest, establishment",0.72
5100 W Diversey Ave,Vida Exitosa,"5100 west diversey avenue, chicago","point_of_interest, establishment",0.73
5100 W Harrison St,Momentum Coffee Austin,"5100 west harrison street, chicago","cafe, store, food, point_of_interest, establishment",0.71
5101 N Kimball Ave,Albany Park Community Center,"5101 north kimball avenue, chicago","health, point_of_interest, establishment",0.71
5101 N Leavitt St,Jorndt Field,"5101 north leavitt street, chicago","point_of_interest, establishment",0.69
5101 W Harrison St,Michele Clark Magnet High School,"5101 west harrison street, chicago","secondary_school, school, point_of_interest, establishment",0.71
5108 W Belmont Ave,"Portage-Cragin Branch, Chicago Public Library","5108 west belmont avenue, chicago","library, point_of_interest, establishment",0.72
5110 N Broadway St,Vietnamese Association of Illinois,"5110 north broadway, chicago","point_of_interest, establishment",0.72
5110 N Damen Ave,"Mark Merten, PsyD","amundsen high school, 5110 north damen avenue, chicago","health, point_of_interest, establishment",0.81
5110 N Western Ave,Crystal Clear Window Washing,"5114 north western avenue, chicago","point_of_interest, establishment",0.68
5110 W Diversey Ave,Training Center,"5110 west diversey avenue, chicago","gym, point_of_interest, health, establishment",0.73
5114 S Elizabeth St,Institute for Nonviolence Chicago- Back of the Yards,"5114 south elizabeth street, chicago","point_of_interest, establishment",0.71
5117 S Racine Ave,Fc truck diesel,"5121 south racine avenue, chicago","car_repair, point_of_interest, establishment",0.68
512 S Lavergne Ave,George Leland Elementary School,"512 south lavergne avenue, chicago","primary_school, school, point_of_interest, establishment",0.71
5120 N Broadway St,South-East Asia Center,"5120 north broadway, chicago","point_of_interest, establishment",0.72
5120 W 44th St,Tasmania restaurant,"west 44th street, new york","restaurant, food, point_of_interest, establishment",0.63
513 W 72nd St,Hamilton Park Pool (Outdoor),"513 west 72nd street, chicago","point_of_interest, establishment",0.67
5134 S Lotus Ave,Mark Twain Elementary School,"5134 south lotus avenue, chicago","primary_school, school, point_of_interest, establishment",0.69
5136 S Laflin St,,,,
515 S Washtenaw Ave,Altgeld Park Public Pool (Outdoor),"515 south washtenaw avenue, chicago","point_of_interest, establishment",0.71
5151 W Madison St,Kingdom Community Inc. HUD Housing Counseling Agency #81494),"5151 west madison street, chicago","point_of_interest, establishment",0.7
520 N Lake Shore Dr,City Veterinarians,"600 north lake shore drive, chicago","veterinary_care, point_of_interest, establishment",0.67
520 S Laramie Ave,A & G Deli,"520 south laramie avenue, chicago","meal_takeaway, restaurant, store, food, point_of_interest, establishment",0.7
520 S Maple Ave,Wound Care Center At RUSH Oak Park Hospital,"520 south maple avenue, oak park","health, point_of_interest, establishment",0.69
5200 N Lake Shore Dr,,,,
5200 S Hyde Park Blvd,Jewish Enrichment Center,"5200 south hyde park boulevard, chicago","point_of_interest, establishment",0.71
5203 S Lowe Ave,Lowe (Samuel) Park,"5203 south lowe avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.69
521 E 35th St,NYU Langone Parking (Under Bridge),"445 east 35th street, new york","parking, point_of_interest, establishment",0.62
5210 W 64th St,Lawler (Michael) Park,"5210 west 64th street, chicago","park, tourist_attraction, point_of_interest, establishment",0.68
5213 W Potomac Ave,New Kingdom Church,"5213 west potomac avenue, chicago","church, place_of_worship, point_of_interest, establishment",0.72
5215 S Woodlawn Ave,Elm Park,"5215 south woodlawn avenue, chicago","park, point_of_interest, establishment",0.72
5217 W Diversey Ave,El Artesanal,"5217 west diversey avenue, chicago","cafe, store, food, point_of_interest, establishment",0.73
5222 S Halsted St,Liberty Temple Church of God,"5230 south halsted street, chicago","church, place_of_worship, point_of_interest, establishment",0.64
5225 S Talman Ave,Florence Nightingale Elementary School,"5225 south talman avenue, chicago","primary_school, school, point_of_interest, establishment",0.7
5230 S Halsted St,Liberty Temple Church of God,"5230 south halsted street, chicago","church, place_of_worship, point_of_interest, establishment",0.69
5230 W Argyle St,Roberts (David) Square Park,"5230 west argyle street, chicago","park, tourist_attraction, point_of_interest, establishment",0.69
5233 W Diversey Ave,Northwest Center,"5233 west diversey avenue, chicago","point_of_interest, establishment",0.73
5234 S Blackstone Ave,Piano Fingers/ piano lessons in person and virtual,"5234 south blackstone avenue, chicago","point_of_interest, school, store, establishment",0.73
5235 S Harper Ct,Harper Court,"5235 south harper court, chicago","shopping_mall, point_of_interest, establishment",0.69
5235 W Belden St,Selena school,"5235 west belden avenue, chicago","primary_school, point_of_interest, school, establishment",0.71
5239 W Madison St,Creative Mindz Youth Development Inc,"5239 west madison street, chicago","point_of_interest, establishment",0.7
5247 S Spaulding Ave,Sawyer Elementary School,"5247 south spaulding avenue, chicago","primary_school, school, point_of_interest, establishment",0.72
5248 S Sawyer Ave,,,,
5248 S Spaulding Ave,Sawyer Elementary School,"5247 south spaulding avenue, chicago","primary_school, point_of_interest, school, establishment",0.7
525 W Monroe St,MERK Capital Corporation,"525 west monroe street, chicago","finance, point_of_interest, establishment",0.69
5250 N Christiana Ave,North Park Cooperative Preschool,"5250 north christiana avenue, chicago","school, point_of_interest, establishment",0.73
5250 S Rockwell St,NIGHTINGALE SCHOOL,"5250 south rockwell street, chicago","school, point_of_interest, establishment",0.7
5254 S Ashland Ave,Christ Temple Community of Christ Food Pantry - Food Distribution Center,"5252 south ashland avenue, chicago","food, point_of_interest, establishment",0.68
5255 N Ashland Ave,First Evangelical Free Church of Chicago,"5255 north ashland avenue, chicago","church, place_of_worship, point_of_interest, establishment",0.71
5257 W Chicago Ave,The Original Royal Chicken,"5254 west chicago avenue, chicago","restaurant, food, point_of_interest, establishment",0.69
5259 W Chicago Ave,The Original Royal Chicken,"5254 west chicago avenue, chicago","restaurant, food, point_of_interest, establishment",0.69
530 S State St,Michigan Union,"530 south state street, ann arbor","point_of_interest, establishment",0.68
5300 S Loomis Blvd,Arthur A Libby School,"5300 south loomis boulevard, chicago","primary_school, school, point_of_interest, establishment",0.69
5300 W 73rd St,International Paper Co,"5300 west 73rd street, bedford park","point_of_interest, store, establishment",0.72
5300 W Chicago Ave,Urban Essentials Coffee Cafe,"5300 west chicago avenue, chicago","cafe, store, food, point_of_interest, establishment",0.72
5311 N Winthrop Ave,Cedar Playlot Park,"5311 north winthrop avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.72
5311 S Lake Park Ave,The Promontory,"5311 south lake park avenue west, chicago","point_of_interest, establishment",0.71
533 W 27th St,Executive Club,"533 west 27th street, new york","point_of_interest, establishment",0.68
5331 W Devon Ave,"Edgebrook Branch, Chicago Public Library","5331 west devon avenue, chicago","library, point_of_interest, establishment",0.7
5333 S Sawyer Ave,,,,
534 N Sacramento Blvd,West Town Academy,"534 north sacramento boulevard, chicago","secondary_school, school, point_of_interest, establishment",0.71
535 E 35th St,NYU Langone Parking (Under Bridge),"445 east 35th street, new york","parking, point_of_interest, establishment",0.62
5350 W Bloomingdale Ave,Rock of Salvation Baptist Church,"5350 west bloomingdale avenue, chicago","church, place_of_worship, point_of_interest, establishment",0.75
5356 S King Dr,Burke Elementary School,"5356 south king drive, chicago","primary_school, school, point_of_interest, establishment",0.68
5363 W Lawrence Ave,"Jefferson Park Branch, Chicago Public Library","5363 west lawrence avenue, chicago","library, point_of_interest, establishment",0.73
54 E 54th St,The Hotel Elysee,"60 east 54th street, new york","lodging, point_of_interest, establishment",0.61
54 N Hermitage Ave,William H Brown STEM Magnet School,"54 north hermitage avenue, chicago","primary_school, point_of_interest, school, establishment",0.71
540 N Dearborn St,Simplistic Views,"540 north dearborn street, chicago","point_of_interest, establishment",0.69
5400 N Cicero Ave,"OLA, Inc","5274 north cicero avenue, chicago","point_of_interest, establishment",0.65
5400 S Pulaski Rd,Peoples Bank,"5410 south pulaski road, chicago","bank, finance, point_of_interest, establishment",0.68
5400 S Saint Louis Ave,Solorio Academy High School,"5400 south saint louis avenue, chicago","secondary_school, school, point_of_interest, establishment",0.69
541 N Fairbanks Ct,"Jonathon D. Goldman, MD, MS","541 north fairbanks court, chicago","doctor, health, point_of_interest, establishment",0.71
5410 S State St,Tutoring Chicago,"5410 south state street, chicago","point_of_interest, establishment",0.68
5411 W Fullerton Ave,Hanson Park Elementary School,"5411 west fullerton avenue, chicago","primary_school, point_of_interest, school, establishment",0.73
5413 W Madison St,Dressed 1213 Mobile Boutique,"5411 west madison street, chicago","clothing_store, store, point_of_interest, establishment",0.68
5415 S Union Ave,Dewey Elementary Academy of Fine Arts,"5415 south union avenue, chicago","primary_school, school, point_of_interest, establishment",0.69
5417 W Division St,Garces Contractors LLC,"5419 west division street, chicago","general_contractor, point_of_interest, establishment",0.68
542 S Dearborn St,All Stars Project of Chicago,"542 south dearborn street, chicago","point_of_interest, establishment",0.69
542 W Hobbie St,Project Education Plus,"542 west hobbie street, chicago","point_of_interest, establishment",0.69
5421 N Menard Ave,Gladstone (William) Park,"5421 north menard avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.7
5421 W Devon Ave,North Branch Arts,"5421 west devon avenue, chicago","school, point_of_interest, establishment",0.7
5430 N Olcott Ave,Oriole Park,"5430 north olcott avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.7
5430 S Ashland Ave,Pan Americana Auto Parts,"5430 south ashland avenue, chicago","car_repair, store, point_of_interest, establishment",0.71
5437 W Division St,Vanda Tax & Accounting Inc,"5443 west division street, chicago","accounting, finance, point_of_interest, establishment",0.68
5440 S Racine Ave,"Sherman Park Branch, Chicago Public Library","5440 south racine avenue, chicago","library, point_of_interest, establishment",0.7
5445 N Chester Ave,Grandparents Park Playground,"5445 north chester avenue, chicago","point_of_interest, establishment",0.71
5446 S Greenwood Ave,Stout (Florence) Park,"5446 south greenwood avenue, chicago","park, point_of_interest, establishment",0.72
545 W Hobbie St,Project Education Plus,"542 west hobbie street, chicago","point_of_interest, establishment",0.66
5457 W Diversey Ave,Dui Services,"5457 west diversey avenue, chicago","point_of_interest, establishment",0.73
5458 W Kinzie St,,,,
5463 W Division St,Christ Resurrection MB Church,"5460 west division street, chicago","church, place_of_worship, point_of_interest, establishment",0.68
5473 S Cornell Ave,Cornell (Paul) Park,"5473 south cornell avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.71
5480 S Kenwood Ave,Marsha's Music,"5480 south kenwood avenue, chicago","school, point_of_interest, establishment",0.71
5491 S Lake Shore Dr,Promontory Field House,"field house, 5491 south dusable lake shore drive, chicago","park, point_of_interest, establishment",0.82
5491 S Shore Dr,Jackson Shore Co Op,"5490 south shore drive, chicago","point_of_interest, establishment",0.66
55 W Cermak Rd,A Step Ahead Chess,"55 west cermak road, chicago","point_of_interest, establishment",0.7
55 W Monroe St,Finra,"55 west monroe street, chicago","finance, point_of_interest, establishment",0.68
5500 N Saint Louis Ave,Student Media Board,"5500 n st louis ave, e-049, chicago","point_of_interest, establishment",0.72
5500 S Indiana Ave,Teen Living Programs,"5500 south indiana avenue, chicago","point_of_interest, establishment",0.71
5500 W Ohio St,Rhema Word Church,"5460 west ohio street, chicago","church, place_of_worship, point_of_interest, establishment",0.62
5516 S Maplewood Ave,Carson Elementary School,"5516 south maplewood avenue, chicago","primary_school, school, point_of_interest, establishment",0.72
5531 S King Dr,Washington Park Chicago Park District,"5531 south king drive, chicago","park, point_of_interest, establishment",0.68
5533 N Broadway St,Steans Heather,"5533 north broadway, chicago","local_government_office, point_of_interest, establishment",0.72
5534 S Saint Louis Ave,Socorro Sandoval Elementary School,"5534 south saint louis avenue, chicago","primary_school, school, point_of_interest, establishment",0.69
5545 W Harrison St,Plato Learning Academy,"5545 west harrison street, chicago","primary_school, point_of_interest, school, establishment",0.71
5548 S Hyde Park Blvd,Little Inspirations East Campus,"5548 south hyde park boulevard, chicago","point_of_interest, establishment",0.71
555 31st St,31st/McCormick,united states,"transit_station, point_of_interest, establishment",0.7
555 E 51st St,,,,
5550 N Magnolia Ave,Cochran (John) Park,"5550 north magnolia avenue, chicago","park, point_of_interest, establishment",0.61
5550 S Greenwood Ave,Smart Museum of Art,"5550 south greenwood avenue, chicago","tourist_attraction, museum, point_of_interest, establishment",0.72
5555 W Grand Ave,Chicago Police Department,"5555 west grand avenue, chicago","police, point_of_interest, establishment",0.7
56 E 47th St,,,,
560 W Lake St,Academy of General Dentistry,"560 west lake street, chicago","point_of_interest, establishment",0.67
5601 N Western Ave,"Joanna Sheinkop Sevim, DPM","5616 north western avenue, chicago","physiotherapist, health, point_of_interest, establishment",0.68
5610 W Lake St,,,,
5615 S Woodlawn Ave,Sophia Community,"5615 south woodlawn avenue, chicago","point_of_interest, establishment",0.72
5615 W Race Ave,"Austin Branch, Chicago Public Library","5615 west race avenue, chicago","library, point_of_interest, establishment",0.7
5625 S Mobile Ave,Wentworth-Kennedy Pool,"5625 south mobile avenue, chicago","point_of_interest, establishment",0.7
5628 W Washington Blvd,Rock of Our Salvation Church,"5628 west washington boulevard, chicago","church, place_of_worship, point_of_interest, establishment",0.73
5630 N Lincoln Ave,"Budlong Woods Branch, Chicago Public Library","5630 north lincoln avenue, chicago","library, point_of_interest, establishment",0.71
5630 S Rockwell St,Gage Park High School,"5630 south rockwell street, chicago","secondary_school, school, point_of_interest, establishment",0.7
5635 S Indiana Ave,Lorraine Hansberry Park,"5635 south indiana avenue, chicago","park, point_of_interest, establishment",0.71
5641 S Kenwood Ave,Bixler (Ray) Park,"5641 south kenwood avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.71
5645 W Corcoran Pl,Malone's Cuts,"5621 west corcoran place, chicago","hair_care, point_of_interest, store, establishment",0.67
565 W Adams St,,,,
5650 S Wolcott Ave,Charles R. Henderson Elementary School,"5650 south wolcott avenue, chicago","primary_school, point_of_interest, school, establishment",0.71
5650 S Woodlawn Ave,First Unitarian Church of Chicago,"5650 south woodlawn avenue, chicago","place_of_worship, point_of_interest, establishment",0.72
5656 S Saint Louis Ave,"Senka (Edward ""Duke"") Park","5656 south saint louis avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.69
5656 S St Louis Ave,"Senka (Edward ""Duke"") Park","5656 south saint louis avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.69
567 W Lake St,Chicago Transit Authority,"567 west lake street, chicago","local_government_office, point_of_interest, establishment",0.67
5700 S Lake Shore Dr,"Museum of Science and Industry, Chicago","5700 south dusable lake shore drive, chicago","tourist_attraction, museum, point_of_interest, establishment",0.77
5701 S Shields Ave,Sherwood (Jesse) Park,"5701 south shields avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.71
5701 W Jackson Blvd,Columbus Park Golf Course,"5701 west jackson boulevard, chicago","point_of_interest, establishment",0.71
5701 W Madison St,Chicago Police Dept,"5701 west madison street, chicago","police, point_of_interest, establishment",0.7
5705 S Shields Ave,Chi Town Bulldogs,"5701 south shields avenue, chicago","point_of_interest, establishment",0.68
5715 S Woodlawn Ave,Jewish Federation of Metropolitan Chicago,"5715 south woodlawn avenue, chicago","point_of_interest, establishment",0.72
5724 W North Ave,"North Austin Branch, Chicago Public Library","5724 west north avenue, chicago","library, point_of_interest, establishment",0.7
5727 S Racine Ave,Playground,"5725 south racine avenue, chicago","park, point_of_interest, establishment",0.68
5729 W Bloomingdale Ave,Galewood Park,"5729 west bloomingdale avenue, chicago","park, point_of_interest, establishment",0.75
5749 S Perry Ave,Sweet Water Foundation Think-Do House,"5749 south perry avenue, chicago","point_of_interest, establishment",0.69
5757 S Woodlawn Ave,Frederick C. Robie House,"5757 south woodlawn avenue, chicago","museum, tourist_attraction, point_of_interest, establishment",0.72
5800 N Lincoln Ave,,,,
5801 N Natoma Ave,Jazzercise Chicago Norwood Park Field House,"5801 north natoma avenue, chicago","gym, point_of_interest, health, establishment",0.7
5801 N Pulaski Rd,Prete Apartments,"5801 north pulaski road, chicago","point_of_interest, establishment",0.71
5801 S Ellis Ave,"Dr. Sean P. Pitroda, MD","information center, edward h. levi hall, 5801 south ellis avenue, chicago","doctor, health, point_of_interest, establishment",0.86
5815 S Homan Ave,Tonti Elementary School,"5815 south homan avenue, chicago","primary_school, school, point_of_interest, establishment",0.69
5820 W Chicago Ave,AAABNA,"5820 west chicago avenue, chicago","point_of_interest, establishment",0.72
5825 S Kostner Ave,Pasteur Elementary School,"5825 south kostner avenue, chicago","primary_school, school, point_of_interest, establishment",0.71
5835 N Lincoln Ave,Mather High School,"5835 north lincoln avenue, chicago","secondary_school, school, point_of_interest, establishment",0.71
5839 S Wood St,Basketball Court,"5839 south wood street, chicago","point_of_interest, establishment",0.67
5841 S Maryland Ave,,,,
5847 W Montrose Ave,Pete's Pizza #2,"5847 west montrose avenue, chicago","restaurant, food, point_of_interest, establishment",0.73
5856 S Wabash Ave,Greater Metropolitan Missionary Baptist Church - Food Distribution Center,"5856 south wabash avenue, chicago","point_of_interest, food, establishment",0.7
5861 N Kostner Ave,Tennis Court,"5861 north kostner avenue, chicago","point_of_interest, establishment",0.71
5887 N Ridge Ave,Senn (Nicholas) Park,"5887 north ridge avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.69
59 W North Blvd,Latin School of Chicago,"59 west north boulevard, chicago","secondary_school, school, point_of_interest, establishment",0.68
5900 N Glenwood Ave,Nicholas Senn High School,"5900 north glenwood avenue, chicago","secondary_school, school, point_of_interest, establishment",0.72
5900 N Winthrop Ave,George B. Swift Specialty School,"5900 north winthrop avenue, chicago","primary_school, point_of_interest, school, establishment",0.72
5900 W Iowa St,Hope For Youth Headstart,"5900 west iowa street, chicago","school, point_of_interest, establishment",0.68
5916 W Lake St,Chicago West Bible Church,"5916 west lake street, chicago","church, place_of_worship, point_of_interest, establishment",0.68
5917 N Broadway,Illinois Army National Guard Recruiting,"5917 north broadway, chicago","point_of_interest, establishment",0.72
5917 N Broadway St,Illinois Army National Guard Recruiting,"5917 north broadway, chicago","point_of_interest, establishment",0.72
5917 North Broadway,,,,
5920 W Roosevelt Rd,FACES Inc. Barber & Beauty,"5920 west roosevelt road, chicago","hair_care, health, point_of_interest, establishment",0.74
5922 W Walton St,King's Electrical Services,"5830 west walton street, chicago","electrician, point_of_interest, establishment",0.61
5925 W Chicago Ave,The Roasted Leaf Cigar & Coffee Cafe,"5925 west chicago avenue, chicago","store, point_of_interest, establishment",0.72
5936 W Lake St,Prevention Partnership Inc,"5936 west lake street, chicago","point_of_interest, establishment",0.68
5940 S Central Ave,BBQ Bros Rubs,"5941 south central avenue, los angeles","restaurant, food, point_of_interest, establishment",0.71
5940 W Chicago Ave,Gone Again Travel & Tours,"5940 west chicago avenue, chicago","travel_agency, point_of_interest, establishment",0.72
5941 N Richmond St,Mather Park Tennis Court,"5941 north richmond street, chicago","point_of_interest, establishment",0.7
595 Lake St,,,,
5951 W Lake St,Austin Park,"5951 west lake street, chicago","park, point_of_interest, establishment",0.68
5958 S Marshfield Ave,Brightpoint,"5958 south marshfield avenue, chicago","point_of_interest, establishment",0.73
